corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	reflex
arta	arsenyo	0001	#	#	##neg	##neg				
arta	arsenyo	0001	Awan	NEG	other:predex	other		predex		
arta	arsenyo	0001	ta	OBL	ln	ln				
arta	arsenyo	0001	api'apili:do	OBL:family.name	np:ncs_other	np		ncs_other		
arta	arsenyo	0001	ta	OBL	ln	ln				
arta	arsenyo	0001	dutul	before	np:other	np		other		
arta	arsenyo	0002	#	#	##	##				
arta	arsenyo	0002	#	#	#ac	#ac				
arta	arsenyo	0002	Amma	if	other	other				
arta	arsenyo	0002	ingngarigan	for example	other	other				
arta	arsenyo	0002	atti:	exist	other:predex	other		predex		
arta	arsenyo	0002	buka:gan	woman	np.h:s_other	np	h	s_other		
arta	arsenyo	0003	#	#	#	#				
arta	arsenyo	0003	ninta	PST-see	v:pred	v		pred		
arta	arsenyo	0003	=ku	=1SG.GEN	=pro.1:a_u	=pro	1	a_u		
arta	arsenyo	0003	#	#	#rc.h:p_u	#rc	h	p_u		
arta	arsenyo	0003	0	0	f0.h:p_u	f0	h	p_u		
arta	arsenyo	0003	kakkabbat	RDP-want	v:pred	v		pred		
arta	arsenyo	0003	=u	=1SG.GEN	=pro.1:a_u	=pro	1	a_u		
arta	arsenyo	0004	%	%	%	%				
arta	arsenyo	0004	muna	like	other:pred	other		pred		
arta	arsenyo	0004	=tèn	=1SG.ABS	=pro.1:a_a	=pro	1	a_a		
arta	arsenyo	0004	ni	PSN.OBL	ln	ln				
arta	arsenyo	0004	ama	father	np.h:p_a	np	h	p_a		
arta	arsenyo	0004	#	#	#ds	#ds				
arta	arsenyo	0004	Ama!	father	np:other	np		other		
arta	arsenyo	0005	#	#	##ds	##ds				
arta	arsenyo	0005	Saya	DIST	other	other				
arta	arsenyo	0005	kabbat	want	v:pred	v		pred		
arta	arsenyo	0005	=u	=1SG.GEN	=pro.1:a_u	=pro	1	a_u		
arta	arsenyo	0005	buka:gan	woman	np.h:p_u	np	h	p_u		
arta	arsenyo	0005	ayya	DIST	dem_pro.h:appos	dem_pro	h	appos		
arta	arsenyo	0006	#	#	##	##				
arta	arsenyo	0006	Saddya	DIST	other	other				
arta	arsenyo	0006	angin	go	v:pred	v		pred		
arta	arsenyo	0006	=di	=3PL.GEN	=pro.h:s_u	=pro	h	s_u		
arta	arsenyo	0006	#	#	#	#				
arta	arsenyo	0006	umangay	INTR-go	v:pred	v		pred		
arta	arsenyo	0006	=de:	=POST	=rv	=rv				
arta	arsenyo	0006	=tid	=3PL.ABS	=pro.h:a_a	=pro	h	a_a		
arta	arsenyo	0006	ta	OBL	ln	ln				
arta	arsenyo	0006	ama	father	np.h:p_a	np	h	p_a		
arta	arsenyo	0006	na	GEN	rn	rn				
arta	arsenyo	0006	buka:gan	woman	rn	rn				
arta	arsenyo	0007	#	#	##	##				
arta	arsenyo	0007	0	0	0.h:s_a	0	h	s_a		
arta	arsenyo	0007	Mangibbu:bud	INTR.RCP-RDP-say	v:pred	v		pred		
arta	arsenyo	0007	=di:ti	=before	=rv	=rv				
arta	arsenyo	0008	#	#	##	##				
arta	arsenyo	0008	Konta	but	other	other				
arta	arsenyo	0008	tèn	1SG	pro.1:dt_p	pro	1	dt_p		
arta	arsenyo	0009	0	0	0.1:p_u	0	1	p_u		
arta	arsenyo	0009	maski	even	other	other				
arta	arsenyo	0009	ballan	not.want	v:pred	v		pred		
arta	arsenyo	0009	na	GEN	ln	ln				
arta	arsenyo	0009	buka:gan	woman	np.h:a_u	np	h	a_u		
arta	arsenyo	0009	#	#	#ac	#ac				
arta	arsenyo	0009	amma	if	other	other				
arta	arsenyo	0009	daddu:pu	PL:old.man	np.h:pred	np	h	pred		
arta	arsenyo	0009	#	#	#rc.h:s_np	#rc	h	s_np		
arta	arsenyo	0009	0	0	f0.h:s_a	f0	h	s_a		
arta	arsenyo	0009	i	SG.ABS.DEF	ln	ln				
arta	arsenyo	0009	nangibud	PST.INTR-say	v:pred	v		pred		
arta	arsenyo	0010	%	%	%	%				
arta	arsenyo	0010	Panga:nan	NF-do-TR	v:pred	v		pred		
arta	arsenyo	0010	na	GEN	ln	ln				
arta	arsenyo	0010	Ilokano	Ilokano	np:s_ds	np		s_ds		
arta	arsenyo	0010	#	#	#ds	#ds				
arta	arsenyo	0010	a	LIG	nc	nc				
arta	arsenyo	0010	wa	PLH	nc	nc				
arta	arsenyo	0010	Kayat	NC	nc	nc				
arta	arsenyo	0010	=mu	=NC	nc	nc				
arta	arsenyo	0010	ket	NC	nc	nc				
arta	arsenyo	0010	saan	NC	nc	nc				
arta	arsenyo	0010	agasawa	NC	nc	nc				
arta	arsenyo	0010	=ta	=NC	nc	nc				
arta	arsenyo	0010	latta	NC	nc	nc				
arta	arsenyo	0011	#	#	##	##				
arta	arsenyo	0011	Saya	DIST	other	other				
arta	arsenyo	0011	meddès	ADJ-bad	ap_other:pred	ap_other		pred		
arta	arsenyo	0011	ta	OBL	ln	ln				
arta	arsenyo	0011	dutul	before	np:other	np		other		
arta	arsenyo	0012	#	#	##	##				
arta	arsenyo	0012	Uman	like	other:pred	other		pred		
arta	arsenyo	0012	#	#	#cc:s_other	#cc		s_other		
arta	arsenyo	0012	na	GEN	ln	ln				
arta	arsenyo	0012	bini:li	<PST.TR>order	vother:pred	vother		pred		
arta	arsenyo	0012	=d	=POST	=rv	=rv				
arta	arsenyo	0012	i	SG.ABS.DEF	ln	ln				
arta	arsenyo	0012	buka:gan	woman	np.h:p_u	np	h	p_u		
arta	arsenyo	0012	=i	=SPC	=rn	=rn				
arta	arsenyo	0012	a	LIG	rn	rn				
arta	arsenyo	0012	wa	PLH	rn	rn				
arta	arsenyo	0012	asawa	spouse	rn	rn				
arta	arsenyo	0013	#	#	#ac	#ac				
arta	arsenyo	0013	0	0	0.h:s_a	0	h	s_a		
arta	arsenyo	0013	maski	even	other	other				
arta	arsenyo	0013	tingngiwit	STV-ugly	v:pred	v		pred		
arta	arsenyo	0013	#	#	#ac	#ac				
arta	arsenyo	0013	0	0	0.h:s_other	0	h	s_other		
arta	arsenyo	0013	maski	even	other	other				
arta	arsenyo	0013	meddès	ADJ-bad	ap_other:pred	ap_other		pred		
arta	arsenyo	0014	#	#	#ac	#ac				
arta	arsenyo	0014	Amma	if	other	other				
arta	arsenyo	0014	saya	DIST	dem_pro:pred	dem_pro		pred		
arta	arsenyo	0014	#	#	#rc:s_pro	#rc		s_pro		
arta	arsenyo	0014	0	0	f0:p_u	f0		p_u		
arta	arsenyo	0014	i	SG.ABS.DEF	ln	ln				
arta	arsenyo	0014	kabbat	want	v:pred	v		pred		
arta	arsenyo	0014	didi	didi	ln	ln				
arta	arsenyo	0014	daddu:pu:	PL:old.man:	np.h:a_u	np	h	a_u		
arta	arsenyo	0014	=i	=SPC	=rn	=rn				
arta	arsenyo	0015	#	#	##	##				
arta	arsenyo	0015	#	#	#ac.neg	#ac.neg				
arta	arsenyo	0015	Amma	if	other	other				
arta	arsenyo	0015	awan	NEG	other	other				
arta	arsenyo	0015	=a	=2SG.ABS	=pro.2:a_a	=pro	2	a_a		
arta	arsenyo	0015	kuma:bat	<INTR>want	v:pred	v		pred		
arta	arsenyo	0015	#	#	#cc:p_u	#cc		p_u		
arta	arsenyo	0015	0	0	f0:p_u	f0		p_u		
arta	arsenyo	0015	a	LIG	other	other				
arta	arsenyo	0015	kabbat	want	v:pred	v		pred		
arta	arsenyo	0015	=di	=3PL.GEN	=pro.h:a_u	=pro	h	a_u		
arta	arsenyo	0015	%	%	%	%				
arta	arsenyo	0016	#	#	#ac.neg	#ac.neg				
arta	arsenyo	0016	Amma	if	other	other				
arta	arsenyo	0016	awan	NEG	other	other				
arta	arsenyo	0016	=di	=3PL.GEN	=pro.h:a_u	=pro	h	a_u		
arta	arsenyo	0016	=taw	=2SG.ABS	=pro.2:p_u	=pro	2	p_u		
arta	arsenyo	0016	papatin	CAUS-die-TR	v:pred	v		pred		
arta	arsenyo	0016	%	%	%	%				
arta	arsenyo	0016	paginanèn	CAUS-leave-TR	v:pred	v		pred		
